time,open,high,low,close,volume,simple_return,log_return
2023-06-01 01:00:00,27065.76,27165.47,27059.74,27078.56,1785.47203,0.00047255260057266213,0.0004724409827546505
2023-06-01 02:00:00,27078.56,27114.16,26640.0,26719.26,3775.37874,-0.013268800113447776,-0.013357617180548884
2023-06-01 03:00:00,26719.26,26838.89,26605.05,26779.94,2879.51275,0.0022710209788743274,0.002268446108384133
2023-06-01 04:00:00,26779.93,26822.81,26746.0,26804.15,1223.77081,0.0009040348858138092,0.0009036264923924911
2023-06-01 05:00:00,26804.14,26863.62,26784.89,26849.2,786.7396,0.0016807098900730733,0.001679299077762044
2023-06-01 06:00:00,26849.2,26883.6,26778.08,26785.13,1305.19049,-0.002386290839205607,-0.0023891425687976877
2023-06-01 07:00:00,26785.14,26864.09,26764.16,26802.67,1298.07343,0.0006548409509306019,0.0006546266361513861
2023-06-01 08:00:00,26802.66,26922.76,26790.96,26912.53,1139.4347,0.004098845376225624,0.004090467993445545
2023-06-01 09:00:00,26912.54,26951.07,26899.54,26908.63,1023.37411,-0.00014491391184690006,-0.0001449244128823331
2023-06-01 10:00:00,26908.63,26934.83,26858.33,26860.0,894.7211,-0.0018072269008121422,-0.00180886190552761
2023-06-01 11:00:00,26860.0,26905.02,26841.65,26892.96,1218.03791,0.0012271034996276242,0.0012263512234791311
2023-06-01 12:00:00,26892.95,26964.88,26782.53,26941.79,1939.00748,0.0018157168270060975,0.0018140704058632812
2023-06-01 13:00:00,26941.8,26971.07,26867.95,26891.74,1377.22419,-0.0018577087862386987,-0.0018594364672229336
2023-06-01 14:00:00,26891.74,26981.34,26833.01,26898.08,2050.06214,0.00023576012560000414,0.00023573233854889267
2023-06-01 15:00:00,26898.07,26947.24,26860.01,26894.48,1115.38165,-0.00013383854907123016,-0.00013384750624905828
2023-06-01 16:00:00,26894.47,27175.0,26795.06,27092.08,3182.53568,0.007347232591967012,0.007320373160012328
2023-06-01 17:00:00,27092.07,27137.42,26916.29,26956.94,2445.80688,-0.004988173665514184,-0.005000656130877079
2023-06-01 18:00:00,26956.93,27048.43,26938.06,26964.77,907.67826,0.00029046323507042615,0.00029042105879187026
2023-06-01 19:00:00,26964.76,26984.68,26656.0,26862.68,2438.22631,-0.0037860512068154106,-0.0037932364401935563
2023-06-01 20:00:00,26862.68,26919.99,26828.82,26863.0,875.88118,1.1912437627215056e-05,1.1912366674693422e-05
2023-06-01 21:00:00,26862.99,26942.98,26855.77,26889.84,837.24211,0.000999143803744884,0.0009986449918035272
2023-06-01 22:00:00,26889.85,26902.43,26849.43,26880.97,751.81829,-0.000329864365128163,-0.0003299187823450498
2023-06-01 23:00:00,26880.97,26883.51,26713.34,26817.93,1194.41453,-0.0023451534673042396,-0.0023479076465213744
2023-06-02 00:00:00,26817.93,26824.64,26505.0,26786.03,3258.7619,-0.0011895026946524556,-0.0011902107144994491
2023-06-02 01:00:00,26786.04,26849.09,26716.8,26811.9,1616.17119,0.0009658019497478243,0.0009653358631188654
2023-06-02 02:00:00,26811.89,26984.26,26811.89,26960.01,1391.57953,0.0055240396987903395,0.005508838148443293
2023-06-02 03:00:00,26960.01,27017.0,26932.16,27000.0,749.52898,0.0014833080551528433,0.0014822090404103191
2023-06-02 04:00:00,27000.01,27120.0,26949.4,27068.27,1679.75278,0.00252851851851843,0.0025253271939859726
2023-06-02 05:00:00,27068.27,27213.0,27064.96,27152.6,2395.14389,0.0031154558455341874,0.0031106128690838513
2023-06-02 06:00:00,27152.6,27164.94,27068.0,27071.06,1558.53392,-0.0030030273343988334,-0.0030075454686387497
2023-06-02 07:00:00,27071.05,27114.16,27045.8,27049.65,1223.21395,-0.0007908814800750008,-0.0007911943918277152
2023-06-02 08:00:00,27049.65,27172.39,27049.38,27166.14,984.41797,0.004306525223061852,0.004297278680786494
2023-06-02 09:00:00,27166.13,27183.07,27068.47,27080.68,1108.38127,-0.0031458278577670695,-0.003150786376049783
2023-06-02 10:00:00,27080.68,27104.2,27061.6,27096.99,603.14207,0.0006022743889739779,0.0006020930945431803
2023-06-02 11:00:00,27096.98,27171.46,27072.55,27130.75,881.16869,0.001245894839242201,0.0012451193563135978
2023-06-02 12:00:00,27130.75,27240.0,26987.0,27095.42,3559.44337,-0.0013022124342305652,-0.0013030610496408595
2023-06-02 13:00:00,27095.43,27134.4,26860.71,26908.84,2607.33789,-0.006886034613967862,-0.006909852754991616
2023-06-02 14:00:00,26908.85,26986.08,26890.0,26964.74,1685.83953,0.0020773842350692018,0.0020752294561256434
2023-06-02 15:00:00,26964.75,27107.34,26962.99,27095.92,1248.06997,0.004864871680572369,0.004853076431784024
2023-06-02 16:00:00,27095.93,27120.02,27032.93,27056.06,1402.81796,-0.0014710701832599815,-0.0014721532693294176
2023-06-02 17:00:00,27056.06,27093.82,27023.58,27057.58,952.23822,5.617965069570907e-05,5.61780726782343e-05
2023-06-02 18:00:00,27057.57,27193.62,27006.22,27192.6,1502.23473,0.00499009889280555,0.004977689614554625
2023-06-02 19:00:00,27192.61,27287.64,27131.02,27239.02,2437.06595,0.0017070820737996595,0.0017056266652954166
2023-06-02 20:00:00,27239.03,27274.1,27172.84,27172.84,1339.76508,-0.0024296028271207915,-0.002432559101421915
2023-06-02 21:00:00,27172.84,27246.11,27143.37,27207.4,868.89438,0.0012718582231374675,0.0012710500966099238
2023-06-02 22:00:00,27207.41,27300.0,27199.0,27262.92,855.95607,0.002040621301557577,0.002038542062055847
2023-06-02 23:00:00,27262.91,27269.22,27229.9,27242.59,471.4434,-0.0007457014875882351,-0.0007459796612407987
2023-06-03 00:00:00,27242.59,27242.6,27152.2,27165.09,678.25975,-0.002844810276849574,-0.0028488644403146905
2023-06-03 01:00:00,27165.08,27189.4,27092.0,27130.4,1101.74244,-0.0012770066287282056,-0.0012778226965164138
2023-06-03 02:00:00,27130.41,27169.26,27129.17,27153.26,612.83696,0.0008425972340988519,0.0008422424483297474
2023-06-03 03:00:00,27153.26,27171.47,27131.89,27143.2,323.04687,-0.0003704895839393707,-0.0003705582321614322
2023-06-03 04:00:00,27143.2,27163.77,27105.73,27160.24,420.01096,0.0006277815438120449,0.0006275845714114499
2023-06-03 05:00:00,27160.24,27168.4,27137.34,27157.2,370.29837,-0.0001119283187482889,-0.00011193458319000779
2023-06-03 06:00:00,27157.2,27212.78,27157.2,27182.35,551.27991,0.00092608958213658,0.0009256610257468384
2023-06-03 07:00:00,27182.35,27200.01,27165.23,27174.42,480.87524,-0.00029173342260691015,-0.00029177598507997503
2023-06-03 08:00:00,27174.42,27181.0,27141.94,27146.62,394.76994,-0.0010230209145217772,-0.0010235445575798813
2023-06-03 09:00:00,27146.62,27151.52,27129.41,27151.51,379.06522,0.00018013292262542002,0.00018011670063855994
2023-06-03 10:00:00,27151.51,27180.03,27112.73,27140.0,736.47675,-0.00042391749114500943,-0.00042400736956624616
2023-06-03 11:00:00,27139.99,27171.48,27123.74,27129.79,510.67532,-0.00037619749447304063,-0.00037626827450253433
2023-06-03 12:00:00,27129.78,27173.73,27129.78,27165.81,479.78328,0.0013276918103679591,0.001326811206956747
2023-06-03 13:00:00,27165.81,27183.99,27149.88,27166.98,520.87423,4.306884278437728e-05,4.306791534839686e-05
2023-06-03 14:00:00,27166.97,27193.62,27166.97,27171.24,439.7442,0.00015680800736794787,0.00015679571427744708
2023-06-03 15:00:00,27171.25,27333.29,27126.85,27305.26,1647.91895,0.0049324211924077765,0.004920296655535328
2023-06-03 16:00:00,27305.27,27318.63,27227.19,27248.48,1156.43612,-0.002079452823375405,-0.00208161788735068
2023-06-03 17:00:00,27248.49,27253.57,27111.79,27160.9,1185.19741,-0.003214124237388538,-0.0032193006293824837
