time,open,high,low,close,volume,simple_return,log_return
2020-01-01 01:00:00,7176.47,7230.0,7175.71,7216.27,883.052603,0.005468843614759411,0.0054539437880477045
2020-01-01 02:00:00,7215.52,7244.87,7211.41,7242.85,655.156809,0.0036833433338829824,0.003676576436273115
2020-01-01 03:00:00,7242.66,7245.0,7220.0,7225.01,783.724867,-0.0024631187999198945,-0.002466157267460975
2020-01-01 04:00:00,7225.0,7230.0,7215.03,7217.27,467.812578,-0.0010712787940777568,-0.0010718530233481366
2020-01-01 05:00:00,7217.26,7229.76,7216.65,7224.21,344.670596,0.0009615824265960526,0.0009611204023736772
2020-01-01 06:00:00,7224.24,7236.27,7221.51,7225.62,621.467023,0.00019517705050109413,0.0001951580059385737
2020-01-01 07:00:00,7225.88,7232.94,7199.11,7209.83,627.344854,-0.002185279602303969,-0.002187670810047564
2020-01-01 08:00:00,7209.83,7210.0,7180.0,7200.64,915.545974,-0.0012746486394269452,-0.0012754616949841534
2020-01-01 09:00:00,7200.29,7210.51,7188.0,7188.77,636.386102,-0.0016484645809261567,-0.0016498247937107029
2020-01-01 10:00:00,7189.07,7210.0,7185.2,7202.0,537.762804,0.0018403704667140364,0.0018386790598788332
2020-01-01 11:00:00,7202.01,7237.73,7188.61,7197.2,1076.959481,-0.0006664815329076035,-0.0006667037304569844
2020-01-01 12:00:00,7197.2,7233.33,7196.15,7225.59,868.75358,0.003944589562607792,0.003936830067853603
2020-01-01 13:00:00,7225.84,7231.89,7212.88,7221.2,612.180902,-0.0006075628426190915,-0.000607747483714124
2020-01-01 14:00:00,7221.17,7234.97,7208.17,7221.43,617.714185,3.185066193989172e-05,3.1850154718328916e-05
2020-01-01 15:00:00,7221.6,7255.0,7218.29,7234.19,1393.888792,0.0017669630530239289,0.0017654038102878887
2020-01-01 16:00:00,7234.2,7246.42,7214.0,7245.37,881.93278,0.0015454390885503155,0.0015442461265040629
2020-01-01 17:00:00,7244.34,7249.99,7224.92,7236.83,1069.210567,-0.0011786837663224636,-0.0011793789603626037
2020-01-01 18:00:00,7237.02,7246.72,7225.17,7240.67,611.693307,0.0005306190693992185,0.0005304783408807698
2020-01-01 19:00:00,7240.8,7241.0,7225.49,7229.48,417.746637,-0.0015454370935287232,-0.001546632513223124
2020-01-01 20:00:00,7229.48,7242.98,7224.68,7236.73,391.834174,0.0010028383784173034,0.001002335871937818
2020-01-01 21:00:00,7237.26,7242.75,7227.0,7233.17,285.454078,-0.0004919348932459489,-0.0004920559329129301
2020-01-01 22:00:00,7233.32,7234.49,7186.0,7197.99,769.030411,-0.004863704295626992,-0.00487557059712096
2020-01-01 23:00:00,7197.62,7204.17,7175.15,7200.85,811.25016,0.00039733314439183154,0.0003972542284812613
2020-01-02 00:00:00,7200.77,7212.5,7185.46,7211.02,391.352377,0.0014123332662117072,0.0014113368616441603
2020-01-02 01:00:00,7211.04,7211.16,7185.11,7190.99,402.660139,-0.002777693030944439,-0.0027815579789834824
2020-01-02 02:00:00,7190.99,7191.0,7155.35,7169.02,1387.377886,-0.003055212147423325,-0.003059888836002544
2020-01-02 03:00:00,7169.04,7169.06,7120.37,7129.61,1557.96443,-0.005497264619153119,-0.00551243018324838
2020-01-02 04:00:00,7129.25,7161.0,7116.7,7142.21,1252.447877,0.0017672775930239748,0.0017657177954383942
2020-01-02 05:00:00,7142.61,7152.05,7126.93,7138.93,569.50899,-0.0004592416072896066,-0.00045934709101278556
2020-01-02 06:00:00,7138.93,7149.02,7121.43,7135.97,687.600665,-0.00041462796245372857,-0.0004147139443951857
2020-01-02 07:00:00,7136.04,7140.63,7105.0,7110.57,1548.403823,-0.003559432004338614,-0.0035657818548206583
